month_start,month,year,share_of_search
2004-01-01T00:00:00Z,1,2004,0
2004-02-01T00:00:00Z,2,2004,0
2004-03-01T00:00:00Z,3,2004,0
2004-04-01T00:00:00Z,4,2004,0
2004-05-01T00:00:00Z,5,2004,0
2004-06-01T00:00:00Z,6,2004,0
2004-07-01T00:00:00Z,7,2004,0
2004-08-01T00:00:00Z,8,2004,0
2004-09-01T00:00:00Z,9,2004,0
2004-10-01T00:00:00Z,10,2004,0
2004-11-01T00:00:00Z,11,2004,0
2004-12-01T00:00:00Z,12,2004,0
2005-01-01T00:00:00Z,1,2005,0
2005-02-01T00:00:00Z,2,2005,0
2005-03-01T00:00:00Z,3,2005,0
2005-04-01T00:00:00Z,4,2005,0
2005-05-01T00:00:00Z,5,2005,0
2005-06-01T00:00:00Z,6,2005,0
2005-07-01T00:00:00Z,7,2005,0
2005-08-01T00:00:00Z,8,2005,0
2005-09-01T00:00:00Z,9,2005,0
2005-10-01T00:00:00Z,10,2005,0
2005-11-01T00:00:00Z,11,2005,0
2005-12-01T00:00:00Z,12,2005,0
2006-01-01T00:00:00Z,1,2006,0
2006-02-01T00:00:00Z,2,2006,0
2006-03-01T00:00:00Z,3,2006,0
2006-04-01T00:00:00Z,4,2006,0
2006-05-01T00:00:00Z,5,2006,0
2006-06-01T00:00:00Z,6,2006,0
2006-07-01T00:00:00Z,7,2006,0
2006-08-01T00:00:00Z,8,2006,0
2006-09-01T00:00:00Z,9,2006,0
2006-10-01T00:00:00Z,10,2006,0
2006-11-01T00:00:00Z,11,2006,0
2006-12-01T00:00:00Z,12,2006,0
2007-01-01T00:00:00Z,1,2007,0
2007-02-01T00:00:00Z,2,2007,0
2007-03-01T00:00:00Z,3,2007,0
2007-04-01T00:00:00Z,4,2007,0
2007-05-01T00:00:00Z,5,2007,0
2007-06-01T00:00:00Z,6,2007,0
2007-07-01T00:00:00Z,7,2007,0
2007-08-01T00:00:00Z,8,2007,0
2007-09-01T00:00:00Z,9,2007,0
2007-10-01T00:00:00Z,10,2007,0
2007-11-01T00:00:00Z,11,2007,0
2007-12-01T00:00:00Z,12,2007,0
2008-01-01T00:00:00Z,1,2008,0
2008-02-01T00:00:00Z,2,2008,0
2008-03-01T00:00:00Z,3,2008,0
2008-04-01T00:00:00Z,4,2008,0
2008-05-01T00:00:00Z,5,2008,0
2008-06-01T00:00:00Z,6,2008,0
2008-07-01T00:00:00Z,7,2008,0
2008-08-01T00:00:00Z,8,2008,0
2008-09-01T00:00:00Z,9,2008,0
2008-10-01T00:00:00Z,10,2008,0
2008-11-01T00:00:00Z,11,2008,0
2008-12-01T00:00:00Z,12,2008,0
2009-01-01T00:00:00Z,1,2009,0
2009-02-01T00:00:00Z,2,2009,0
2009-03-01T00:00:00Z,3,2009,0
2009-04-01T00:00:00Z,4,2009,0
2009-05-01T00:00:00Z,5,2009,0
2009-06-01T00:00:00Z,6,2009,0
2009-07-01T00:00:00Z,7,2009,0
2009-08-01T00:00:00Z,8,2009,0
2009-09-01T00:00:00Z,9,2009,0
2009-10-01T00:00:00Z,10,2009,0
2009-11-01T00:00:00Z,11,2009,0
2009-12-01T00:00:00Z,12,2009,0
2010-01-01T00:00:00Z,1,2010,0
2010-02-01T00:00:00Z,2,2010,0
2010-03-01T00:00:00Z,3,2010,0
2010-04-01T00:00:00Z,4,2010,0
2010-05-01T00:00:00Z,5,2010,0
2010-06-01T00:00:00Z,6,2010,0
2010-07-01T00:00:00Z,7,2010,0
2010-08-01T00:00:00Z,8,2010,0
2010-09-01T00:00:00Z,9,2010,0
2010-10-01T00:00:00Z,10,2010,0
2010-11-01T00:00:00Z,11,2010,0
2010-12-01T00:00:00Z,12,2010,0
2011-01-01T00:00:00Z,1,2011,0
2011-02-01T00:00:00Z,2,2011,0
2011-03-01T00:00:00Z,3,2011,0
2011-04-01T00:00:00Z,4,2011,0
2011-05-01T00:00:00Z,5,2011,0.01
2011-06-01T00:00:00Z,6,2011,0
2011-07-01T00:00:00Z,7,2011,0
2011-08-01T00:00:00Z,8,2011,0
2011-09-01T00:00:00Z,9,2011,0.01
2011-10-01T00:00:00Z,10,2011,0
2011-11-01T00:00:00Z,11,2011,0
2011-12-01T00:00:00Z,12,2011,0.01
2012-01-01T00:00:00Z,1,2012,0.01
2012-02-01T00:00:00Z,2,2012,0.01
2012-03-01T00:00:00Z,3,2012,0.01
2012-04-01T00:00:00Z,4,2012,0.01
2012-05-01T00:00:00Z,5,2012,0.02
2012-06-01T00:00:00Z,6,2012,0.01
2012-07-01T00:00:00Z,7,2012,0.02
2012-08-01T00:00:00Z,8,2012,0.01
2012-09-01T00:00:00Z,9,2012,0.01
2012-10-01T00:00:00Z,10,2012,0.02
2012-11-01T00:00:00Z,11,2012,0.02
2012-12-01T00:00:00Z,12,2012,0.01
2013-01-01T00:00:00Z,1,2013,0.02
2013-02-01T00:00:00Z,2,2013,0.02
2013-03-01T00:00:00Z,3,2013,0.02
2013-04-01T00:00:00Z,4,2013,0.02
2013-05-01T00:00:00Z,5,2013,0.02
2013-06-01T00:00:00Z,6,2013,0.02
2013-07-01T00:00:00Z,7,2013,0.02
2013-08-01T00:00:00Z,8,2013,0.02
2013-09-01T00:00:00Z,9,2013,0.03
2013-10-01T00:00:00Z,10,2013,0.03
2013-11-01T00:00:00Z,11,2013,0.03
2013-12-01T00:00:00Z,12,2013,0.03
2014-01-01T00:00:00Z,1,2014,0.03
2014-02-01T00:00:00Z,2,2014,0.04
2014-03-01T00:00:00Z,3,2014,0.04
2014-04-01T00:00:00Z,4,2014,0.04
2014-05-01T00:00:00Z,5,2014,0.04
2014-06-01T00:00:00Z,6,2014,0.05
2014-07-01T00:00:00Z,7,2014,0.04
2014-08-01T00:00:00Z,8,2014,0.04
2014-09-01T00:00:00Z,9,2014,0.04
2014-10-01T00:00:00Z,10,2014,0.05
2014-11-01T00:00:00Z,11,2014,0.06
2014-12-01T00:00:00Z,12,2014,0.05
2015-01-01T00:00:00Z,1,2015,0.06
2015-02-01T00:00:00Z,2,2015,0.06
2015-03-01T00:00:00Z,3,2015,0.06
2015-04-01T00:00:00Z,4,2015,0.06
2015-05-01T00:00:00Z,5,2015,0.07
2015-06-01T00:00:00Z,6,2015,0.07
2015-07-01T00:00:00Z,7,2015,0.08
2015-08-01T00:00:00Z,8,2015,0.07
2015-09-01T00:00:00Z,9,2015,0.07
2015-10-01T00:00:00Z,10,2015,0.08
2015-11-01T00:00:00Z,11,2015,0.08
2015-12-01T00:00:00Z,12,2015,0.08
2016-01-01T00:00:00Z,1,2016,0.08
2016-02-01T00:00:00Z,2,2016,0.09
2016-03-01T00:00:00Z,3,2016,0.09
2016-04-01T00:00:00Z,4,2016,0.1
2016-05-01T00:00:00Z,5,2016,0.09
2016-06-01T00:00:00Z,6,2016,0.11
2016-07-01T00:00:00Z,7,2016,0.1
2016-08-01T00:00:00Z,8,2016,0.1
2016-09-01T00:00:00Z,9,2016,0.11
2016-10-01T00:00:00Z,10,2016,0.11
2016-11-01T00:00:00Z,11,2016,0.12
2016-12-01T00:00:00Z,12,2016,0.12
2017-01-01T00:00:00Z,1,2017,0.15
2017-02-01T00:00:00Z,2,2017,0.15
2017-03-01T00:00:00Z,3,2017,0.16
2017-04-01T00:00:00Z,4,2017,0.15
2017-05-01T00:00:00Z,5,2017,0.17
2017-06-01T00:00:00Z,6,2017,0.16
2017-07-01T00:00:00Z,7,2017,0.18
2017-08-01T00:00:00Z,8,2017,0.2
2017-09-01T00:00:00Z,9,2017,0.2
2017-10-01T00:00:00Z,10,2017,0.19
2017-11-01T00:00:00Z,11,2017,0.22
2017-12-01T00:00:00Z,12,2017,0.2
2018-01-01T00:00:00Z,1,2018,0.23
2018-02-01T00:00:00Z,2,2018,0.23
2018-03-01T00:00:00Z,3,2018,0.25
2018-04-01T00:00:00Z,4,2018,0.24
2018-05-01T00:00:00Z,5,2018,0.28
2018-06-01T00:00:00Z,6,2018,0.26
2018-07-01T00:00:00Z,7,2018,0.26
2018-08-01T00:00:00Z,8,2018,0.3
2018-09-01T00:00:00Z,9,2018,0.31
2018-10-01T00:00:00Z,10,2018,0.32
2018-11-01T00:00:00Z,11,2018,0.34
2018-12-01T00:00:00Z,12,2018,0.31
2019-01-01T00:00:00Z,1,2019,0.35
2019-02-01T00:00:00Z,2,2019,0.36
2019-03-01T00:00:00Z,3,2019,0.36
2019-04-01T00:00:00Z,4,2019,0.36
2019-05-01T00:00:00Z,5,2019,0.37
2019-06-01T00:00:00Z,6,2019,0.38
2019-07-01T00:00:00Z,7,2019,0.39
2019-08-01T00:00:00Z,8,2019,0.41
2019-09-01T00:00:00Z,9,2019,0.41
2019-10-01T00:00:00Z,10,2019,0.41
2019-11-01T00:00:00Z,11,2019,0.42
2019-12-01T00:00:00Z,12,2019,0.4
2020-01-01T00:00:00Z,1,2020,0.44
2020-02-01T00:00:00Z,2,2020,0.48
2020-03-01T00:00:00Z,3,2020,0.4
2020-04-01T00:00:00Z,4,2020,0.46
2020-05-01T00:00:00Z,5,2020,0.59
2020-06-01T00:00:00Z,6,2020,0.69
2020-07-01T00:00:00Z,7,2020,0.64
2020-08-01T00:00:00Z,8,2020,0.62
2020-09-01T00:00:00Z,9,2020,0.59
2020-10-01T00:00:00Z,10,2020,0.58
2020-11-01T00:00:00Z,11,2020,0.67
2020-12-01T00:00:00Z,12,2020,0.64
2021-01-01T00:00:00Z,1,2021,0.74
2021-02-01T00:00:00Z,2,2021,0.73
2021-03-01T00:00:00Z,3,2021,0.86
2021-04-01T00:00:00Z,4,2021,0.77
2021-05-01T00:00:00Z,5,2021,0.77
2021-06-01T00:00:00Z,6,2021,0.8
2021-07-01T00:00:00Z,7,2021,0.73
2021-08-01T00:00:00Z,8,2021,0.73
2021-09-01T00:00:00Z,9,2021,0.7
2021-10-01T00:00:00Z,10,2021,0.73
2021-11-01T00:00:00Z,11,2021,0.79
2021-12-01T00:00:00Z,12,2021,0.81
2022-01-01T00:00:00Z,1,2022,0.85
2022-02-01T00:00:00Z,2,2022,0.81
2022-03-01T00:00:00Z,3,2022,1
2022-04-01T00:00:00Z,4,2022,0.94
2022-05-01T00:00:00Z,5,2022,0.81
