month_start,month,year,retention,renewal_rate,price_expansion,net_renewal_rate,all_consumer_leads,consumer_sessions,consumer_users,consumer_leads,all_leads,deals_won
2017-01-01,1,2017,22719.78,0.991,1659.07,1.2109,9,NA,NA,1,4,13
2017-02-01,2,2017,37958.2,0.916,3809.02,1.0133,13,NA,NA,0,15,5
2017-03-01,3,2017,72922.55,0.9974,5067.93,1.7392,14,NA,NA,2,24,18
2017-04-01,4,2017,39529.66,0.9943,3051.9,1.1101,7,NA,NA,2,26,3
2017-05-01,5,2017,46821.65,0.9645,1077.34,1.0453,7,NA,NA,4,29,8
2017-06-01,6,2017,75307.91,0.9939,9418.18,1.2206,21,NA,NA,8,42,9
2017-07-01,7,2017,36869.64,0.9692,2847.6,1.1563,45,NA,NA,27,60,6
2017-08-01,8,2017,44484.55,1,1878.06,1.1403,63,NA,NA,46,77,3
2017-09-01,9,2017,58966.37,0.9746,3475.88,1.0931,92,NA,NA,75,107,9
2017-10-01,10,2017,46228.12,0.9464,4308.43,1.0444,116,NA,NA,88,141,8
2017-11-01,11,2017,59673.1,0.9864,8230.92,1.1442,131,NA,NA,105,156,12
2017-12-01,12,2017,33905.2,0.9702,167.24,1.0266,119,72786,68494,89,129,9
2018-01-01,1,2018,37799.71,1,3672.06,1.269,146,69300,65109,110,158,11
2018-02-01,2,2018,57234.5,0.9726,6421.79,1.1077,169,2502,2468,140,183,22
2018-03-01,3,2018,69106.28,0.9935,6266.12,1.0926,185,NA,NA,158,215,17
2018-04-01,4,2018,80429.66,0.9933,6996.96,1.1033,146,NA,NA,135,186,13
2018-05-01,5,2018,74640.57,0.9774,3388.4,1.0239,154,NA,NA,131,204,9
2018-06-01,6,2018,125659.07,0.9602,7540.57,1.0964,136,NA,NA,118,199,13
2018-07-01,7,2018,46578.6,1,1509.02,1.0335,127,NA,NA,102,204,13
2018-08-01,8,2018,59346.16,0.8981,2874.72,0.9628,101,NA,NA,81,202,11
2018-09-01,9,2018,73311.52,0.9266,3742.56,1.1185,102,NA,NA,80,222,10
2018-10-01,10,2018,63715.4,1,913.11,1.0515,120,NA,NA,96,255,12
2018-11-01,11,2018,55996.74,1,8116.32,1.2196,138,NA,NA,122,284,13
2018-12-01,12,2018,36419.45,1,2002.36,1.0984,125,1271289,1015423,96,247,9
2019-01-01,1,2019,63767.14,0.9733,6296.36,1.2148,138,1570507,1258208,94,299,9
2019-02-01,2,2019,75426.55,0.998,10143.39,1.2149,193,1337409,1081572,172,314,13
2019-03-01,3,2019,108423.5,0.9937,8198.79,1.2105,190,1506880,1209163,165,297,12
2019-04-01,4,2019,148486.64,0.9826,17714.26,1.1536,188,1450106,1171950,159,274,15
2019-05-01,5,2019,113352.32,1,10567.1,1.1621,217,1587775,1268993,153,278,21
2019-06-01,6,2019,134269.4,1,11382.41,1.1168,160,1452949,1160639,132,248,28
2019-07-01,7,2019,95018.63,0.9851,8655.51,1.3722,180,1663469,1317532,146,263,9
2019-08-01,8,2019,93072.82,1,6916.04,1.3274,136,1564358,1252910,117,235,8
2019-09-01,9,2019,89215.24,0.9228,6623.66,1.0175,197,1728364,1377462,184,321,25
2019-10-01,10,2019,94922.3,0.9775,11552.55,1.1932,240,1753605,1389051,229,356,30
2019-11-01,11,2019,112058.9,0.9938,16205.92,1.2667,215,1984605,1561950,204,344,23
2019-12-01,12,2019,88451.53,1,9458.27,1.2785,227,1943303,1505644,203,334,25
2020-01-01,1,2020,141394,1,29468.75,1.3177,288,2146692,1657944,253,366,24
2020-02-01,2,2020,167508.36,0.9957,18065.67,1.7516,305,1814816,1405928,250,365,39
2020-03-01,3,2020,159738.69,0.9691,11573.43,1.2116,271,1927761,1493163,227,392,11
2020-04-01,4,2020,104740.25,0.9043,3435.93,1.0068,398,2928479,2166094,328,589,33
