week_start,week,year,clicks,impressions,ctr,position
2020-11-30,49,2020,284,35639,0.007914286,4.257142857
2020-12-07,50,2020,263,33983,0.007571429,4.658571429
2020-12-14,51,2020,304,34379,0.008671429,4.291428571
2020-12-21,52,2020,197,29340,0.006385714,4.701428571
2020-12-28,53,2020,216,31073,0.006871429,4.138571429
2021-01-04,1,2021,265,38309,0.006842857,4.347142857
2021-01-11,2,2021,271,38896,0.006771429,4.135714286
2021-01-18,3,2021,316,40155,0.0077,4.312857143
2021-01-25,4,2021,260,32829,0.007857143,4.46
2021-02-01,5,2021,297,30516,0.009485714,4.182857143
2021-02-08,6,2021,308,30918,0.009585714,4.41
2021-02-15,7,2021,338,29241,0.011171429,4.442857143
2021-02-22,8,2021,256,26780,0.009314286,4.485714286
2021-03-01,9,2021,302,27077,0.0108,4.611428571
2021-03-08,10,2021,268,28174,0.009157143,4.498571429
2021-03-15,11,2021,323,25242,0.012942857,4.998571429
2021-03-22,12,2021,308,23291,0.013228571,5.004285714
2021-03-29,13,2021,224,25044,0.008571429,4.357142857
2021-04-05,14,2021,304,30024,0.009828571,4.287142857
2021-04-12,15,2021,314,24029,0.012814286,4.504285714
2021-04-19,16,2021,279,21849,0.012557143,4.961428571
2021-04-26,17,2021,286,19638,0.0141,5.282857143
2021-05-03,18,2021,270,19008,0.013385714,5.62
2021-05-10,19,2021,242,19272,0.012014286,5.755714286
2021-05-17,20,2021,247,17993,0.012914286,5.3
2021-05-24,21,2021,265,16464,0.015357143,5.065714286
2021-05-31,22,2021,241,15694,0.0151,5.482857143
2021-06-07,23,2021,227,16544,0.012814286,5.027142857
2021-06-14,24,2021,224,16424,0.013085714,4.737142857
2021-06-21,25,2021,242,17005,0.013585714,5.037142857
2021-06-28,26,2021,231,17767,0.012457143,4.691428571
2021-07-05,27,2021,221,17318,0.011771429,5.147142857
2021-07-12,28,2021,216,19229,0.0106,4.617142857
2021-07-19,29,2021,219,18680,0.0108,5.514285714
2021-07-26,30,2021,230,17227,0.012814286,5.717142857
2021-08-02,31,2021,194,16235,0.011528571,5.125714286
2021-08-09,32,2021,146,14089,0.009942857,5.035714286
2021-08-16,33,2021,148,14460,0.010085714,4.567142857
2021-08-23,34,2021,176,15697,0.010671429,4.411428571
2021-08-30,35,2021,227,17974,0.012171429,4.887142857
2021-09-06,36,2021,207,19870,0.009814286,4.644285714
2021-09-13,37,2021,222,20497,0.0102,4.588571429
2021-09-20,38,2021,226,19757,0.010957143,4.615714286
2021-09-27,39,2021,234,21281,0.011,4.618571429
2021-10-04,40,2021,253,21782,0.011271429,4.858571429
2021-10-11,41,2021,252,22647,0.010857143,4.538571429
2021-10-18,42,2021,254,19908,0.012242857,4.632857143
2021-10-25,43,2021,231,18609,0.011757143,4.547142857
2021-11-01,44,2021,254,25267,0.010214286,4.401428571
2021-11-08,45,2021,284,26632,0.010271429,5.19
2021-11-15,46,2021,236,28985,0.008057143,4.118571429
2021-11-22,47,2021,274,30454,0.009,4.555714286
2021-11-29,48,2021,276,31073,0.008557143,4.532857143
2021-12-06,49,2021,259,30699,0.008271429,4.267142857
2021-12-13,50,2021,245,29987,0.007928571,4.375714286
2021-12-20,51,2021,183,23629,0.007128571,4.85
2021-12-27,52,2021,161,25416,0.006385714,4.711428571
2022-01-03,1,2022,229,32320,0.0069,5.144285714
2022-01-10,2,2022,277,34928,0.007757143,5.187142857
2022-01-17,3,2022,308,36008,0.008214286,4.844285714
2022-01-24,4,2022,275,35330,0.007542857,5.748571429
2022-01-31,5,2022,283,29865,0.0092,7.222857143
2022-02-07,6,2022,302,30437,0.009571429,7.314285714
2022-02-14,7,2022,322,32242,0.009914286,6.891428571
2022-02-21,8,2022,290,33588,0.008371429,8.851428571
2022-02-28,9,2022,299,34482,0.008342857,6.83
2022-03-07,10,2022,259,34796,0.007157143,7.61
2022-03-14,11,2022,277,30141,0.009014286,8.301428571
2022-03-21,12,2022,265,27845,0.009171429,8.325714286
2022-03-28,13,2022,196,16111,0.012175,7.3675
