month_start,month,year,retention,renewal_rate,price_expansion,net_renewal_rate,all_consumer_leads,consumer_sessions,consumer_users,consumer_leads,all_leads,deals_won
2017-01-01,1,2017,1284143.44,0.9645,60614.72,1.1236,75,NA,NA,5,49,101
2017-02-01,2,2017,936938.37,0.974,35657.24,1.101,92,NA,NA,12,210,89
2017-03-01,3,2017,1294472.86,0.9704,81952.68,1.1657,70,NA,NA,15,313,160
2017-04-01,4,2017,1302680.64,0.9623,81343.77,1.1173,61,NA,NA,11,223,98
2017-05-01,5,2017,1284574.03,0.9489,74629.43,1.0675,95,NA,NA,14,223,106
2017-06-01,6,2017,1302039.56,0.966,65642.89,1.1169,107,NA,NA,28,349,152
2017-07-01,7,2017,1182783.12,0.9529,67801.02,1.0365,301,NA,NA,163,615,123
2017-08-01,8,2017,1134289.15,0.9702,72481.07,1.1245,711,NA,NA,475,1084,134
2017-09-01,9,2017,1481609.04,0.971,117785.7,1.1784,848,NA,NA,581,1154,140
2017-10-01,10,2017,950190.55,0.9332,39078.42,1.0305,938,NA,NA,664,1430,116
2017-11-01,11,2017,1230920.02,0.9829,66801.88,1.1154,1092,NA,NA,746,1506,127
2017-12-01,12,2017,1375446.33,0.9567,64639.85,1.0681,948,646480,609236,662,1139,107
2018-01-01,1,2018,1644112.53,0.9738,91272.27,1.0865,1514,708508,666396,1074,1931,101
2018-02-01,2,2018,1288421.44,0.968,58013.55,1.0895,1210,24140,23813,1040,2088,116
2018-03-01,3,2018,1682894.72,0.9507,50548.73,1.0431,1282,NA,NA,1153,2334,170
2018-04-01,4,2018,1653797.57,0.9852,82553.89,1.1094,1376,NA,NA,1199,2272,121
2018-05-01,5,2018,1689600.77,0.9888,130321.45,1.1604,1409,NA,NA,1213,2179,160
2018-06-01,6,2018,1765618.28,0.9835,147290.96,1.1322,975,NA,NA,828,2139,131
2018-07-01,7,2018,1833493.98,0.9791,106906.2,1.1124,788,NA,NA,667,2172,104
2018-08-01,8,2018,1920081,0.9819,120181.98,1.232,788,NA,NA,670,2315,140
2018-09-01,9,2018,1974267.71,0.9812,172452.07,1.1341,776,NA,NA,564,1954,179
2018-10-01,10,2018,1510225.14,0.9927,125119.02,1.1473,581,NA,NA,446,2807,141
2018-11-01,11,2018,1752339.24,0.9759,155693.28,1.1628,1065,NA,NA,896,2665,168
2018-12-01,12,2018,1955662.57,0.9753,117591.06,1.1607,720,6482243,4730996,605,1998,138
2019-01-01,1,2019,2329240.49,0.9663,205765.54,1.1181,1298,8163545,5913830,1110,3077,182
