week_start,week,year,uk_consumer_traffic,it_consumer_traffic,uk_other_traffic,it_other_traffic
2018-01-01,1,2018,470,39,11118,719
2018-01-08,2,2018,479,49,20173,941
2018-01-15,3,2018,492,40,17435,899
2018-01-22,4,2018,501,46,16193,814
2018-01-29,5,2018,485,63,15675,858
2018-02-05,6,2018,545,40,16132,959
2018-02-12,7,2018,586,49,16083,918
2018-02-19,8,2018,541,58,16645,961
2018-02-26,9,2018,537,76,16636,1179
2018-03-05,10,2018,564,49,16629,1016
2018-03-12,11,2018,568,48,17348,1073
2018-03-19,12,2018,621,47,16306,858
2018-03-26,13,2018,521,57,14841,829
2018-04-02,14,2018,3240,309,13732,685
2018-04-09,15,2018,5636,629,11572,435
2018-04-16,16,2018,5492,566,11437,405
2018-04-23,17,2018,6022,502,11415,687
2018-04-30,18,2018,5535,507,10174,670
2018-05-07,19,2018,5104,545,11306,875
2018-05-14,20,2018,5390,512,10108,557
2018-05-21,21,2018,9654,830,14218,2100
2018-05-28,22,2018,6105,582,10267,879
2018-06-04,23,2018,5448,583,12238,1483
2018-06-11,24,2018,4823,561,11356,2095
2018-06-18,25,2018,5125,610,9938,1216
2018-06-25,26,2018,4798,648,11445,1111
2018-07-02,27,2018,4792,587,11820,2045
2018-07-09,28,2018,4943,618,11843,1441
2018-07-16,29,2018,5218,539,12198,1273
2018-07-23,30,2018,5367,518,11003,1276
2018-07-30,31,2018,5284,487,9839,1210
2018-08-06,32,2018,5298,425,10496,1115
2018-08-13,33,2018,5414,297,11877,1005
2018-08-20,34,2018,5220,430,11850,1218
2018-08-27,35,2018,4747,485,11266,1351
2018-09-03,36,2018,5348,569,11595,1605
2018-09-10,37,2018,5201,605,11671,1534
2018-09-17,38,2018,5500,581,11388,1894
2018-09-24,39,2018,5196,557,11513,1720
2018-10-01,40,2018,5357,520,12026,1387
2018-10-08,41,2018,5375,521,12684,1499
2018-10-15,42,2018,5479,520,12621,2009
2018-10-22,43,2018,5275,553,12569,2039
2018-10-29,44,2018,5387,553,12211,1654
2018-11-05,45,2018,5670,582,12301,1690
2018-11-12,46,2018,5570,590,12518,1688
2018-11-19,47,2018,5105,568,13065,1904
2018-11-26,48,2018,5305,565,9657,1879
2018-12-03,49,2018,5170,566,11089,1866
2018-12-10,50,2018,4976,542,11521,2267
2018-12-17,51,2018,4610,484,10453,1990
2018-12-24,52,2018,2270,315,7074,1540
2018-12-31,1,2018,4131,415,11299,1926
2019-01-07,2,2019,5719,591,14110,2811
2019-01-14,3,2019,6028,626,12392,2740
2019-01-21,4,2019,6092,628,12993,2657
2019-01-28,5,2019,5890,629,14732,2103
2019-02-04,6,2019,6001,598,14974,2086
2019-02-11,7,2019,5739,618,14560,2603
2019-02-18,8,2019,5715,644,9707,1783
2019-02-25,9,2019,5683,609,5601,851
2019-03-04,10,2019,5432,610,7023,970
2019-03-11,11,2019,4597,567,6705,863
2019-03-18,12,2019,5141,708,5873,684
2019-03-25,13,2019,5261,827,5300,678
2019-04-01,14,2019,5433,793,5553,753
2019-04-08,15,2019,5214,827,5134,666
2019-04-15,16,2019,4514,782,4424,546
2019-04-22,17,2019,4751,681,4583,518
2019-04-29,18,2019,5191,800,5331,762
2019-05-06,19,2019,4900,799,5003,898
2019-05-13,20,2019,5630,888,4642,710
2019-05-20,21,2019,5567,865,4482,667
2019-05-27,22,2019,5104,848,4685,679
2019-06-03,23,2019,5843,827,4801,675
2019-06-10,24,2019,6356,895,4603,642
2019-06-17,25,2019,6761,977,3993,523
2019-06-24,26,2019,6603,937,4153,602
2019-07-01,27,2019,6916,1133,4350,615
2019-07-08,28,2019,6743,1068,4340,601
2019-07-15,29,2019,6920,938,4327,734
2019-07-22,30,2019,6700,989,4008,582
2019-07-29,31,2019,6841,896,4311,498
2019-08-05,32,2019,7152,821,5877,465
2019-08-12,33,2019,7060,629,5891,395
2019-08-19,34,2019,6848,869,5222,1097
2019-08-26,35,2019,6569,1001,4869,652
2019-09-02,36,2019,7385,1126,5102,666
2019-09-09,37,2019,7522,1147,4809,689
2019-09-16,38,2019,7515,1178,5722,723
2019-09-23,39,2019,7344,1262,6750,623
2019-09-30,40,2019,7463,1048,5709,688
2019-10-07,41,2019,7375,1128,6033,760
2019-10-14,42,2019,7608,1123,5543,755
2019-10-21,43,2019,7348,1159,5098,715
2019-10-28,44,2019,6951,1046,4610,634
2019-11-04,45,2019,7455,1205,4717,684
2019-11-11,46,2019,7616,1209,4197,703
2019-11-18,47,2019,7551,1228,4362,665
2019-11-25,48,2019,7685,1340,4414,682
2019-12-02,49,2019,7276,1261,4254,697
2019-12-09,50,2019,7039,1276,4153,718
2019-12-16,51,2019,6370,1121,4520,618
2019-12-23,52,2019,3273,758,3551,435
2019-12-30,1,2019,4946,965,4523,1085
2020-01-06,2,2020,7332,1118,5909,867
2020-01-13,3,2020,7387,1186,5611,788
2020-01-20,4,2020,7555,1204,5050,673
2020-01-27,5,2020,7384,1138,6659,743
2020-02-03,6,2020,7315,1191,6672,926
2020-02-10,7,2020,7603,1096,6154,749
2020-02-17,8,2020,7492,1140,5350,629
2020-02-24,9,2020,7516,1089,5433,607
2020-03-02,10,2020,7301,1031,5030,679
2020-03-09,11,2020,6577,857,5220,524
2020-03-16,12,2020,5206,1004,4632,644
2020-03-23,13,2020,5069,1095,4454,710
2020-03-30,14,2020,5665,1364,8300,866
2020-04-06,15,2020,5573,1364,5534,798
2020-04-13,16,2020,6373,1496,5386,852
2020-04-20,17,2020,7075,1771,5138,983
2020-04-27,18,2020,7982,1536,4946,1023
2020-05-04,19,2020,7385,1577,5174,857
2020-05-11,20,2020,8012,1570,5717,899
2020-05-18,21,2020,7794,1487,5713,989
2020-05-25,22,2020,7145,1536,5322,1049
2020-06-01,23,2020,8540,1400,6197,1434
2020-06-08,24,2020,8420,1377,5552,1154
2020-06-15,25,2020,8566,1273,5191,1043
2020-06-22,26,2020,8118,1211,5081,870
2020-06-29,27,2020,8933,1175,5268,949
2020-07-06,28,2020,8014,1220,4865,927
2020-07-13,29,2020,7693,1122,3909,832
2020-07-20,30,2020,6978,1038,3399,752
2020-07-27,31,2020,6846,1016,3660,724
2020-08-03,32,2020,7191,956,4516,950
2020-08-10,33,2020,7347,762,3978,816
2020-08-17,34,2020,7239,857,3862,713
2020-08-24,35,2020,7115,1072,3361,771
2020-08-31,36,2020,6755,1072,3290,917
2020-09-07,37,2020,7053,1112,3561,1204
2020-09-14,38,2020,7315,1170,3928,1150
2020-09-21,39,2020,7343,1169,3807,973
2020-09-28,40,2020,7512,1141,3827,856
2020-10-05,41,2020,7560,1216,4050,1071
2020-10-12,42,2020,7670,1303,4201,1061
2020-10-19,43,2020,7669,1232,4624,1093
2020-10-26,44,2020,7190,1314,4285,1219
2020-11-02,45,2020,7458,1180,4311,1466
2020-11-09,46,2020,8365,1364,4964,1760
2020-11-16,47,2020,8355,1476,5108,1589
2020-11-23,48,2020,7967,1578,4752,1272
2020-11-30,49,2020,7846,1660,4530,1142
2020-12-07,50,2020,7526,1558,4817,1235
2020-12-14,51,2020,6948,1414,4266,985
2020-12-21,52,2020,4628,1209,2582,515
2020-12-28,53,2020,4443,1263,2673,712
2021-01-04,1,2021,7612,1517,4738,1172
2021-01-11,2,2021,8281,1497,5636,1663
2021-01-18,3,2021,8594,1624,5895,2233
2021-01-25,4,2021,8651,1553,6549,2026
2021-02-01,5,2021,8824,1611,6529,1776
2021-02-08,6,2021,8869,1533,6146,1611
2021-02-15,7,2021,8960,1537,6065,1721
2021-02-22,8,2021,8237,1459,5901,1662
2021-03-01,9,2021,8581,1471,5920,1775
2021-03-08,10,2021,8535,1517,5750,1766
2021-03-15,11,2021,8375,1526,5388,1979
2021-03-22,12,2021,8222,1628,5574,1367
2021-03-29,13,2021,7333,1360,4879,1203
2021-04-05,14,2021,7909,1509,4996,1908
2021-04-12,15,2021,7752,1609,5456,1788
2021-04-19,16,2021,7778,1478,5054,1503
2021-04-26,17,2021,8002,1421,4950,1575
2021-05-03,18,2021,7701,1308,4766,1417
2021-05-10,19,2021,8098,1406,5081,1736
2021-05-17,20,2021,7931,1300,5093,1904
2021-05-24,21,2021,7181,1318,4540,952
2021-05-31,22,2021,6417,1078,3833,1053
2021-06-07,23,2021,6958,1124,3824,1249
2021-06-14,24,2021,7094,1167,3520,740
2021-06-21,25,2021,6960,1132,3484,1364
2021-06-28,26,2021,6763,1057,3202,1376
2021-07-05,27,2021,6952,1129,3333,1204
2021-07-12,28,2021,6674,1165,3440,1317
2021-07-19,29,2021,6406,1112,3515,1217
2021-07-26,30,2021,6496,1086,3623,1105
2021-08-02,31,2021,6575,972,3487,1094
2021-08-09,32,2021,6471,754,3325,1008
2021-08-16,33,2021,5956,684,3020,855
2021-08-23,34,2021,6132,1002,3193,1197
2021-08-30,35,2021,5890,1076,3113,1268
