month_start,month,year,search,retention,renewal_rate,price_expansion,net_renewal_rate,all_consumer_leads,consumer_sessions,consumer_users,consumer_leads,all_leads,deals_won,country,prompted_awareness,biz_traffic_consumer
2017-01-01T00:00:00Z,1,2017,0.15,22719.78,0.991,1659.07,1.2109,9,NA,NA,1,4,13,IT,NA,NA
2017-02-01T00:00:00Z,2,2017,0.15,37958.2,0.916,3809.02,1.0133,13,NA,NA,0,15,5,IT,NA,NA
2017-03-01T00:00:00Z,3,2017,0.16,72922.55,0.9974,5067.93,1.7392,14,NA,NA,2,24,18,IT,NA,NA
2017-04-01T00:00:00Z,4,2017,0.15,39529.66,0.9943,3051.9,1.1101,7,NA,NA,2,26,3,IT,NA,NA
2017-05-01T00:00:00Z,5,2017,0.17,46821.65,0.9645,1077.34,1.0453,7,NA,NA,4,29,8,IT,NA,NA
2017-06-01T00:00:00Z,6,2017,0.16,75307.91,0.9939,9418.18,1.2206,21,NA,NA,8,42,9,IT,NA,NA
2017-07-01T00:00:00Z,7,2017,0.18,36869.64,0.9692,2847.6,1.1563,45,NA,NA,27,60,6,IT,NA,NA
2017-08-01T00:00:00Z,8,2017,0.2,44484.55,1,1878.06,1.1403,63,NA,NA,46,77,3,IT,NA,NA
2017-09-01T00:00:00Z,9,2017,0.2,58966.37,0.9746,3475.88,1.0931,92,NA,NA,75,107,9,IT,NA,NA
2017-10-01T00:00:00Z,10,2017,0.19,46228.12,0.9464,4308.43,1.0444,116,NA,NA,88,141,8,IT,NA,NA
2017-11-01T00:00:00Z,11,2017,0.22,59673.1,0.9864,8230.92,1.1442,131,NA,NA,105,156,12,IT,NA,NA
2017-12-01T00:00:00Z,12,2017,0.2,33905.2,0.9702,167.24,1.0266,119,72786,68494,89,129,9,IT,NA,NA
2018-01-01T00:00:00Z,1,2018,0.23,37799.71,1,3672.06,1.269,146,69300,65109,110,158,11,IT,NA,237
2018-02-01T00:00:00Z,2,2018,0.23,57234.5,0.9726,6421.79,1.1077,169,2502,2468,140,183,22,IT,NA,223
2018-03-01T00:00:00Z,3,2018,0.25,69106.28,0.9935,6266.12,1.0926,185,NA,NA,158,215,17,IT,NA,201
2018-04-01T00:00:00Z,4,2018,0.24,80429.66,0.9933,6996.96,1.1033,146,NA,NA,135,186,13,IT,NA,2513
2018-05-01T00:00:00Z,5,2018,0.28,74640.57,0.9774,3388.4,1.0239,154,NA,NA,131,204,9,IT,NA,2469
2018-06-01T00:00:00Z,6,2018,0.26,125659.07,0.9602,7540.57,1.0964,136,NA,NA,118,199,13,IT,NA,2402
2018-07-01T00:00:00Z,7,2018,0.26,46578.6,1,1509.02,1.0335,127,NA,NA,102,204,13,IT,NA,2749
2018-08-01T00:00:00Z,8,2018,0.3,59346.16,0.8981,2874.72,0.9628,101,NA,NA,81,202,11,IT,NA,1637
2018-09-01T00:00:00Z,9,2018,0.31,73311.52,0.9266,3742.56,1.1185,102,NA,NA,80,222,10,IT,NA,2312
2018-10-01T00:00:00Z,10,2018,0.32,63715.4,1,913.11,1.0515,120,NA,NA,96,255,12,IT,0.218,2667
2018-11-01T00:00:00Z,11,2018,0.34,55996.74,1,8116.32,1.2196,138,NA,NA,122,284,13,IT,0.22766666666666666,2305
2018-12-01T00:00:00Z,12,2018,0.31,1955662.57,0.9753,117591.06,1.1607,720,6482243,4730996,605,1998,138,UK,0.437,21157
2018-12-01T00:00:00Z,12,2018,0.31,36419.45,1,2002.36,1.0984,125,1271289,1015423,96,247,9,IT,0.23733333333333334,2322
2019-01-01T00:00:00Z,1,2019,0.35,2329240.49,0.9663,205765.54,1.1181,1298,8163545,5913830,1110,3077,182,UK,0.447,23729
2019-01-01T00:00:00Z,1,2019,0.35,63767.14,0.9733,6296.36,1.2148,138,1570507,1258208,94,299,9,IT,0.247,2474
2019-02-01T00:00:00Z,2,2019,0.36,1937553.14,0.9899,110223.54,1.1466,1750,7125171,5174804,1596,2705,179,UK,0.45766666666666667,23138
2019-02-01T00:00:00Z,2,2019,0.36,75426.55,0.998,10143.39,1.2149,193,1337409,1081572,172,314,13,IT,0.24966666666666668,2469
2019-03-01T00:00:00Z,3,2019,0.36,2310992.94,0.972,235313.49,1.1476,1789,7428285,5348056,1612,2758,217,UK,0.4683333333333333,20431
2019-03-01T00:00:00Z,3,2019,0.36,108423.5,0.9937,8198.79,1.2105,190,1506880,1209163,165,297,12,IT,0.25233333333333335,2712
2019-04-01T00:00:00Z,4,2019,0.36,2466925.87,0.9755,181982.75,1.149,1777,7120072,5113313,1517,2581,151,UK,0.479,25103
2019-04-01T00:00:00Z,4,2019,0.36,148486.64,0.9826,17714.26,1.1536,188,1450106,1171950,159,274,15,IT,0.255,3883
2019-05-01T00:00:00Z,5,2019,0.37,2362830.14,0.982,170953.25,1.111,1705,7519347,5331325,1536,2631,162,UK,0.48533333333333334,21201
2019-05-01T00:00:00Z,5,2019,0.37,113352.32,1,10567.1,1.1621,217,1587775,1268993,153,278,21,IT,0.261,3400
2019-06-01T00:00:00Z,6,2019,0.38,2327451.42,0.9905,218848.9,1.1434,1542,7545517,5385073,1381,2459,210,UK,0.49166666666666664,25563
2019-06-01T00:00:00Z,6,2019,0.38,134269.4,1,11382.41,1.1168,160,1452949,1160639,132,248,28,IT,0.267,3636
2019-07-01T00:00:00Z,7,2019,0.39,2420216.84,0.9713,200420.21,1.0948,1644,8936166,6426542,1501,2548,151,UK,0.498,34120
2019-07-01T00:00:00Z,7,2019,0.39,95018.63,0.9851,8655.51,1.3722,180,1663469,1317532,146,263,9,IT,0.273,5024
2019-08-01T00:00:00Z,8,2019,0.41,2662071.23,0.984,186698.99,1.1097,1550,8913003,6378641,1396,2399,148,UK,0.49966666666666665,27629
2019-08-01T00:00:00Z,8,2019,0.41,93072.82,1,6916.04,1.3274,136,1564358,1252910,117,235,8,IT,0.27,3320
2019-09-01T00:00:00Z,9,2019,0.41,2737238.51,0.9908,222369.65,1.1427,1732,8567651,6117964,1580,2639,180,UK,0.5013333333333333,37229
2019-09-01T00:00:00Z,9,2019,0.41,89215.24,0.9228,6623.66,1.0175,197,1728364,1377462,184,321,25,IT,0.267,5761
2019-10-01T00:00:00Z,10,2019,0.41,2071380.86,0.9616,146738.35,1.1272,1867,9208772,6566123,1713,2939,178,UK,0.503,29282
2019-10-01T00:00:00Z,10,2019,0.41,94922.3,0.9775,11552.55,1.1932,240,1753605,1389051,229,356,30,IT,0.264,4456
2019-11-01T00:00:00Z,11,2019,0.42,2466786.31,0.981,196690.55,1.1255,1906,9477712,6779212,1727,2797,210,UK,0.512,30307
2019-11-01T00:00:00Z,11,2019,0.42,112058.9,0.9938,16205.92,1.2667,215,1984605,1561950,204,344,23,IT,0.2743333333333333,4982
2019-12-01T00:00:00Z,12,2019,0.4,2457695.03,0.9783,183818.84,1.1118,1487,9059367,6526469,1368,2247,138,UK,0.521,28904
2019-12-01T00:00:00Z,12,2019,0.4,88451.53,1,9458.27,1.2785,227,1943303,1505644,203,334,25,IT,0.2846666666666667,5381
2020-01-01T00:00:00Z,1,2020,0.44,3297200.05,0.9845,306692.13,1.148,2336,10658395,7602760,2167,3366,169,UK,0.53,29658
2020-01-01T00:00:00Z,1,2020,0.44,141394,1,29468.75,1.3177,288,2146692,1657944,253,366,24,IT,0.295,4646
2020-02-01T00:00:00Z,2,2020,0.48,2580083.48,0.9852,290370.1,1.1412,2215,10087467,7227405,2018,3160,145,UK,0.554,29926
2020-02-01T00:00:00Z,2,2020,0.48,167508.36,0.9957,18065.67,1.7516,305,1814816,1405928,250,365,39,IT,0.297,4516
